Course,Room,Day,Period,Timeslot
7,0,2,2,20
37,6,2,1,19
14,0,0,0,0
38,8,0,8,8
43,7,1,2,11
2,8,2,1,19
24,0,0,2,2
40,9,4,1,37
32,7,1,1,10
13,8,2,5,23
8,6,2,7,25
19,7,1,3,12
22,3,4,7,43
3,6,3,2,29
45,8,3,5,32
18,0,3,5,32
23,3,4,8,44
39,7,4,3,39
35,7,4,6,42
0,5,2,8,26
11,3,2,7,25
44,9,2,8,26
17,0,4,1,37
1,2,0,1,1
25,2,1,2,11
9,8,0,3,3
36,5,1,1,10
6,1,0,5,5
49,8,3,0,27
46,9,1,7,16
28,0,1,8,17
21,8,2,4,22
34,9,0,4,4
30,1,1,1,10
48,1,0,4,4
29,0,0,4,4
41,6,4,1,37
5,9,4,2,38
42,4,1,7,16
10,1,3,7,34
26,5,0,7,7
16,1,3,2,29
47,8,1,5,14
20,3,1,6,15
33,6,0,3,3
27,7,0,7,7
4,2,2,2,20
15,2,1,3,12
12,0,1,0,9
31,5,4,5,41
