Course,Room,Day,Period,Timeslot
81,4,4,3,39
84,9,0,8,8
41,2,2,6,24
7,37,4,5,41
38,31,2,4,22
55,4,4,7,43
114,36,3,7,34
193,21,0,4,4
13,29,1,8,17
88,19,4,7,43
179,33,1,4,13
43,16,0,6,6
157,39,0,3,3
89,18,0,6,6
54,8,3,1,28
80,30,3,2,29
165,0,2,7,25
121,20,0,7,7
166,7,1,1,10
143,7,2,7,25
148,22,2,3,21
138,23,0,2,2
69,5,2,5,23
139,31,2,2,20
161,2,1,0,9
6,26,1,0,9
168,8,2,7,25
45,8,4,3,39
92,4,2,4,22
131,22,1,2,11
49,27,2,3,21
104,18,1,4,13
85,17,4,7,43
5,18,0,5,5
106,12,1,0,9
93,23,3,2,29
25,12,0,2,2
78,33,3,8,35
8,5,4,3,39
191,32,3,3,30
37,8,0,7,7
72,3,4,1,37
59,21,4,6,42
196,29,2,3,21
186,7,2,5,23
60,21,1,2,11
16,26,0,5,5
101,11,3,0,27
158,33,4,7,43
144,39,0,0,0
147,0,2,6,24
64,31,4,1,37
1,31,1,7,16
126,18,2,8,26
18,29,4,5,41
122,27,3,3,30
65,4,4,1,37
123,23,4,0,36
102,37,0,7,7
151,32,4,3,39
76,11,2,0,18
51,29,1,0,9
77,0,2,5,23
145,13,3,2,29
86,8,3,0,27
135,36,4,0,36
163,14,0,8,8
63,32,3,6,33
47,28,2,5,23
71,15,3,6,33
149,0,0,0,0
184,5,2,1,19
175,6,3,3,30
167,17,2,8,26
199,13,3,7,34
194,8,4,2,38
61,11,4,0,36
155,6,3,6,33
169,17,4,3,39
111,38,0,7,7
120,24,3,2,29
176,39,4,6,42
56,24,1,3,12
52,28,2,8,26
188,4,0,0,0
48,39,4,8,44
34,34,0,6,6
195,19,4,3,39
4,15,1,1,10
162,27,2,3,21
19,11,3,4,31
124,14,0,2,2
23,27,1,3,12
159,6,0,8,8
103,36,0,0,0
198,36,3,6,33
30,23,4,8,44
2,29,1,3,12
142,8,1,0,9
98,8,3,7,34
100,19,2,7,25
105,23,1,8,17
44,32,3,1,28
129,18,1,5,14
117,4,0,8,8
130,1,0,4,4
164,12,3,4,31
12,9,1,7,16
113,11,0,0,0
62,31,3,6,33
125,23,0,0,0
128,39,1,3,12
20,38,3,8,35
3,23,3,7,34
32,0,4,2,38
9,1,0,5,5
91,22,0,1,1
46,1,4,7,43
26,3,3,2,29
156,39,3,4,31
97,21,4,7,43
107,3,1,2,11
171,30,3,0,27
118,9,4,1,37
58,16,0,0,0
146,15,4,2,38
190,20,0,3,3
79,0,3,1,28
40,7,3,0,27
53,36,1,8,17
170,15,1,2,11
74,18,4,8,44
182,9,4,6,42
57,11,1,6,15
42,1,2,3,21
28,28,4,1,37
115,18,1,3,12
90,33,3,5,32
95,16,1,1,10
181,28,4,6,42
183,20,0,1,1
70,8,3,7,34
127,6,1,6,15
172,26,4,1,37
15,19,2,3,21
110,6,3,8,35
17,3,4,8,44
94,20,2,3,21
96,16,4,6,42
136,26,4,2,38
21,15,0,6,6
33,7,4,8,44
119,24,4,0,36
133,31,1,2,11
83,4,0,6,6
22,23,2,5,23
154,36,1,4,13
39,13,2,3,21
10,18,0,1,1
24,1,3,5,32
197,7,2,4,22
189,21,1,0,9
141,16,3,8,35
112,34,3,1,28
50,30,2,7,25
108,2,0,2,2
73,39,2,6,24
187,1,1,4,13
82,33,3,6,33
152,8,2,4,22
11,39,4,1,37
99,28,4,2,38
0,0,2,4,22
109,4,2,0,18
87,11,3,0,27
160,19,4,4,40
180,17,1,0,9
31,37,1,5,14
14,39,3,3,30
68,38,1,4,13
177,10,0,6,6
35,38,1,0,9
185,33,2,4,22
140,6,0,2,2
29,5,3,6,33
116,19,0,3,3
75,24,0,5,5
132,0,0,3,3
173,11,3,7,34
134,33,4,0,36
150,16,1,4,13
66,19,2,1,19
192,28,2,0,18
27,6,1,0,9
153,7,0,1,1
36,23,2,0,18
178,29,0,6,6
67,38,2,7,25
174,6,3,1,28
137,27,4,2,38
