Iteration,BestCost,BestHardViolations,BestGapPenalty,BestUndesirablePenalty,AvgCost,WorstCost
0,1.46544e+06,146,537,13,1.64496e+06,1.84556e+06
1,1.35539e+06,135,532,14,1.63886e+06,1.83516e+06
2,1.35539e+06,135,532,14,1.65731e+06,1.83516e+06
3,1.35539e+06,135,532,14,1.63185e+06,1.76566e+06
4,1.35539e+06,135,532,14,1.62887e+06,1.81528e+06
5,1.35539e+06,135,532,14,1.65376e+06,1.89516e+06
6,1.35539e+06,135,532,14,1.64827e+06,1.75557e+06
7,1.35539e+06,135,532,14,1.64149e+06,1.77576e+06
8,1.35539e+06,135,532,14,1.65538e+06,1.81528e+06
9,1.35539e+06,135,532,14,1.64683e+06,1.79472e+06
10,1.35539e+06,135,532,14,1.67277e+06,1.87508e+06
11,1.35539e+06,135,532,14,1.60439e+06,1.82541e+06
12,1.35539e+06,135,532,14,1.6224e+06,1.78512e+06
13,1.35539e+06,135,532,14,1.69528e+06,1.82566e+06
14,1.35539e+06,135,532,14,1.63787e+06,1.85539e+06
15,1.35539e+06,135,532,14,1.60933e+06,1.70498e+06
16,1.35539e+06,135,532,14,1.62782e+06,1.8062e+06
17,1.35539e+06,135,532,14,1.62495e+06,1.77606e+06
18,1.35539e+06,135,532,14,1.62524e+06,1.77513e+06
19,1.35539e+06,135,532,14,1.64936e+06,1.76514e+06
20,1.35539e+06,135,532,14,1.60436e+06,1.75560e+06
21,1.35539e+06,135,532,14,1.64488e+06,1.85616e+06
22,1.35539e+06,135,532,14,1.63026e+06,1.83545e+06
23,1.35539e+06,135,532,14,1.65332e+06,1.84554e+06
24,1.35539e+06,135,532,14,1.63479e+06,1.81534e+06
25,1.35539e+06,135,532,14,1.6374e+06,1.81543e+06
26,1.35539e+06,135,532,14,1.64286e+06,1.74518e+06
27,1.35539e+06,135,532,14,1.62088e+06,1.79502e+06
28,1.35539e+06,135,532,14,1.62182e+06,1.79509e+06
29,1.35539e+06,135,532,14,1.62176e+06,1.82548e+06
30,1.35539e+06,135,532,14,1.62584e+06,1.76568e+06
31,1.35539e+06,135,532,14,1.68834e+06,1.855e+06
32,1.35539e+06,135,532,14,1.62823e+06,1.91498e+06
33,1.35539e+06,135,532,14,1.6232e+06,1.83606e+06
34,1.35539e+06,135,532,14,1.638e+06,1.80529e+06
35,1.35539e+06,135,532,14,1.67373e+06,1.8553e+06
36,1.35539e+06,135,532,14,1.67033e+06,1.83570e+06
37,1.35539e+06,135,532,14,1.63134e+06,1.78515e+06
38,1.35539e+06,135,532,14,1.66178e+06,1.81532e+06
39,1.35539e+06,135,532,14,1.62882e+06,1.75492e+06
40,1.35539e+06,135,532,14,1.60491e+06,1.81527e+06
41,1.35539e+06,135,532,14,1.64745e+06,1.78538e+06
42,1.35539e+06,135,532,14,1.63494e+06,1.8656e+06
43,1.35539e+06,135,532,14,1.6568e+06,1.79548e+06
44,1.35539e+06,135,532,14,1.63574e+06,1.80468e+06
45,1.35539e+06,135,532,14,1.64281e+06,1.80529e+06
46,1.35539e+06,135,532,14,1.65541e+06,1.94485e+06
47,1.35539e+06,135,532,14,1.62667e+06,1.83564e+06
48,1.35539e+06,135,532,14,1.62886e+06,1.77592e+06
49,1.35539e+06,135,532,14,1.61833e+06,1.78488e+06
50,1.35539e+06,135,532,14,1.66778e+06,1.96506e+06
51,1.35539e+06,135,532,14,1.67078e+06,1.91507e+06
52,1.35539e+06,135,532,14,1.67926e+06,1.85529e+06
53,1.35539e+06,135,532,14,1.64535e+06,1.81454e+06
54,1.35539e+06,135,532,14,1.6762e+06,1.895e+06
55,1.35539e+06,135,532,14,1.65175e+06,1.79410e+06
56,1.35539e+06,135,532,14,1.61037e+06,1.81532e+06
57,1.35539e+06,135,532,14,1.65019e+06,1.81501e+06
58,1.35539e+06,135,532,14,1.63179e+06,1.83516e+06
59,1.35539e+06,135,532,14,1.65126e+06,1.80582e+06
60,1.35539e+06,135,532,14,1.63274e+06,1.80526e+06
61,1.35539e+06,135,532,14,1.62884e+06,1.75505e+06
62,1.35539e+06,135,532,14,1.6344e+06,1.79449e+06
63,1.35539e+06,135,532,14,1.68796e+06,1.95522e+06
64,1.35539e+06,135,532,14,1.61381e+06,1.79502e+06
65,1.35539e+06,135,532,14,1.65237e+06,1.87493e+06
66,1.35539e+06,135,532,14,1.66123e+06,1.86514e+06
