Course,Room,Day,Period,Timeslot
24,7,2,2,20
1,10,3,1,28
3,16,0,8,8
23,18,2,5,23
8,17,4,2,38
60,6,2,7,25
12,16,4,4,40
96,5,3,7,34
10,4,1,4,13
33,4,1,8,17
89,9,4,2,38
84,15,4,3,39
48,8,2,6,24
55,9,3,0,27
21,18,2,4,22
73,14,3,3,30
61,18,4,0,36
25,5,4,2,38
44,12,3,7,34
46,19,1,8,17
91,5,1,3,12
43,15,3,1,28
77,13,3,1,28
75,17,0,0,0
41,16,4,0,36
57,3,4,3,39
76,8,0,6,6
36,14,4,8,44
51,16,3,7,34
2,1,0,4,4
63,7,3,7,34
29,11,0,3,3
13,4,0,7,7
70,17,1,5,14
32,17,2,3,21
64,3,1,1,10
16,7,4,4,40
74,7,0,2,2
0,2,0,4,4
18,17,1,2,11
81,13,0,8,8
85,6,2,5,23
34,7,0,6,6
56,11,2,3,21
47,1,1,0,9
65,0,4,0,36
82,6,4,3,39
19,4,3,4,31
49,9,3,1,28
62,6,4,7,43
42,4,1,7,16
98,9,1,8,17
27,9,1,7,16
20,13,0,7,7
86,18,4,4,40
7,4,3,6,33
53,5,4,1,37
92,6,2,4,22
15,16,2,1,19
78,10,2,5,23
88,8,4,0,36
45,17,1,4,13
28,3,0,3,3
80,12,3,1,28
72,13,4,5,41
52,14,4,2,38
14,0,1,2,11
31,9,2,2,20
99,4,3,6,33
69,4,3,3,30
4,7,4,5,41
35,6,3,3,30
6,2,3,0,27
50,9,0,5,5
39,4,1,1,10
26,16,2,7,25
58,4,4,3,39
97,4,4,0,36
90,4,1,3,12
59,15,0,3,3
5,4,3,8,35
87,16,1,2,11
67,10,0,1,1
95,12,2,0,18
93,7,4,6,42
17,10,1,0,9
68,14,0,6,6
94,4,2,8,26
83,11,4,5,41
11,19,1,6,15
37,12,2,6,24
22,0,2,7,25
9,0,3,6,33
71,5,4,4,40
38,5,0,2,2
66,17,2,1,19
54,1,1,4,13
40,5,0,4,4
30,1,4,6,42
79,13,0,3,3
