Iteration,BestCost,BestHardViolations,BestGapPenalty,BestUndesirablePenalty,AvgCost,WorstCost
0,743035,74,299,9,923872,1.02302e+06
1,743035,74,299,9,930294,1.06256e+06
2,743035,74,299,9,920283,1.04266e+06
3,743035,74,299,9,955880,1.11275e+06
4,743035,74,299,9,935708,1.05298e+06
5,743035,74,299,9,913378,1.02239e+06
6,743035,74,299,9,907341,1.06281e+06
7,743035,74,299,9,901803,1.02283e+06
8,743035,74,299,9,925806,1.08232e+06
9,743035,74,299,9,921257,1.06285e+06
10,743035,74,299,9,945291,1.05221e+06
11,743035,74,299,9,925834,1.10285e+06
12,742570,74,253,8,901234,1.05231e+06
13,742570,74,253,8,909794,1.06266e+06
14,742570,74,253,8,919328,1.10252e+06
15,742570,74,253,8,922770,1.07286e+06
16,742570,74,253,8,948806,1.05281e+06
17,742570,74,253,8,940384,1.07272e+06
18,742570,74,253,8,925848,1.09294e+06
19,742570,74,253,8,918186,1.01268e+06
20,742570,74,253,8,927710,1.21282e+06
21,742570,74,253,8,922879,1.03296e+06
22,742570,74,253,8,920738,1.06314e+06
23,742570,74,253,8,961273,1.07283e+06
24,742570,74,253,8,926244,1.03244e+06
25,742570,74,253,8,933355,1.02358e+06
26,742570,74,253,8,929330,1.12272e+06
27,742570,74,253,8,928271,1.04199e+06
28,742570,74,253,8,929770,1.04269e+06
29,742570,74,253,8,894805,1.01304e+06
30,742570,74,253,8,935802,1.10318e+06
31,742570,74,253,8,897282,1.03302e+06
32,742570,74,253,8,918801,1.02290e+06
33,742570,74,253,8,939245,1.06274e+06
34,742570,74,253,8,922186,1.02278e+06
35,742570,74,253,8,914863,1.03290e+06
36,742570,74,253,8,906296,1.0029e+06
37,742570,74,253,8,923216,1.07216e+06
38,742570,74,253,8,922754,1.05296e+06
39,742570,74,253,8,942800,1.03264e+06
40,742570,74,253,8,981785,1.20269e+06
41,742570,74,253,8,928184,993095
42,742570,74,253,8,921777,1.06270e+06
43,742570,74,253,8,919748,1.03308e+06
44,742570,74,253,8,911853,1.03254e+06
45,742570,74,253,8,934179,1.08260e+06
46,742570,74,253,8,899338,1.05288e+06
47,742570,74,253,8,935820,1.0126e+06
48,742570,74,253,8,923308,993165
49,742570,74,253,8,945864,1.09286e+06
50,742570,74,253,8,903315,1.01278e+06
51,742570,74,253,8,925840,1.14254e+06
52,742570,74,253,8,937746,1.06245e+06
53,742570,74,253,8,936850,1.0429e+06
54,742570,74,253,8,920268,1.04282e+06
55,742570,74,253,8,929782,1.04236e+06
56,742570,74,253,8,945289,1.04262e+06
57,742570,74,253,8,907348,1.03257e+06
58,742570,74,253,8,932218,1.0721e+06
59,742570,74,253,8,891860,1.0429e+06
60,742570,74,253,8,904800,1.07302e+06
61,742570,74,253,8,905316,1.00241e+06
62,742570,74,253,8,897777,992520
63,742570,74,253,8,919892,1.03256e+06
64,742570,74,253,8,936850,1.16262e+06
65,742570,74,253,8,922334,1.12306e+06
66,742570,74,253,8,933276,1.08299e+06
67,742570,74,253,8,938243,1.11308e+06
68,742570,74,253,8,908298,1.08256e+06
69,742570,74,253,8,954333,1.07286e+06
70,742570,74,253,8,916746,1.02231e+06
71,742570,74,253,8,910281,1.06284e+06
72,742570,74,253,8,923359,1.12245e+06
73,742570,74,253,8,912840,1.03271e+06
74,742570,74,253,8,910296,1.09286e+06
75,742570,74,253,8,905266,1.10252e+06
76,742570,74,253,8,917754,1.05230e+06
77,742570,74,253,8,924244,1.02308e+06
78,742570,74,253,8,941259,1.093e+06
79,723000,72,296,8,908291,1.05218e+06
80,723000,72,296,8,921314,1.06317e+06
81,723000,72,296,8,900322,1.00275e+06
82,723000,72,296,8,917762,1.1325e+06
83,723000,72,296,8,925782,1.05280e+06
84,723000,72,296,8,887834,1.07252e+06
85,723000,72,296,8,897844,1.0326e+06
86,723000,72,296,8,899833,1.03276e+06
87,723000,72,296,8,911240,1.07257e+06
88,723000,72,296,8,905779,1.07268e+06
89,723000,72,296,8,908706,1.02255e+06
90,723000,72,296,8,936310,1.07334e+06
91,723000,72,296,8,960845,1.08311e+06
92,723000,72,296,8,935748,1.06264e+06
93,723000,72,296,8,926748,1.04326e+06
94,723000,72,296,8,899791,982760
95,723000,72,296,8,934744,1.08248e+06
96,723000,72,296,8,901258,1.0228e+06
97,723000,72,296,8,941200,1.04264e+06
98,723000,72,296,8,919278,1.09259e+06
99,723000,72,296,8,934710,1.12226e+06
