Iteration,BestCost,BestHardViolations,BestGapPenalty,BestUndesirablePenalty,AvgCost,WorstCost
0,20390,2,39,0,68340,120180
1,20390,2,39,0,70352.8,130315
2,20310,2,31,0,67315.2,150360
3,20310,2,31,0,66801,140215
4,10500,1,49,2,53844.8,100275
5,10500,1,49,2,72808.8,140265
6,10500,1,49,2,73313,110330
7,10500,1,49,2,81322.2,150285
8,10500,1,49,2,70805.2,140225
9,10500,1,49,2,68785.8,110265
10,10500,1,49,2,74828,160270
11,10500,1,49,2,70796.2,110485
12,10390,1,39,0,64284.5,130270
13,10390,1,39,0,71303.8,150235
14,10390,1,39,0,60321,110325
15,10390,1,39,0,72303,140255
16,10390,1,39,0,74808.8,110345
17,10390,1,39,0,74807.2,140465
18,10390,1,39,0,68816.5,120225
19,10375,1,37,1,71317,140325
20,10375,1,37,1,71317,100520
21,10375,1,37,1,66307.5,110445
22,10375,1,37,1,69806.2,120455
23,10375,1,37,1,63296.5,100230
24,10375,1,37,1,68293.8,130450
25,10375,1,37,1,72289.2,150185
26,10375,1,37,1,70829.2,150330
27,10375,1,37,1,69762.8,140195
28,10375,1,37,1,67818,100350
29,10375,1,37,1,70275,130280
30,10375,1,37,1,64282,110200
31,10375,1,37,1,61296.5,120355
32,10315,1,31,1,70310.8,120355
33,10315,1,31,1,55320.2,110365
34,10315,1,31,1,71291.5,110295
35,10315,1,31,1,70806.8,130210
36,10315,1,31,1,64334.8,110285
37,10315,1,31,1,71284,120270
38,10315,1,31,1,83317.2,140395
39,10315,1,31,1,62808,90400
40,10315,1,31,1,57832,130170
41,10315,1,31,1,63290.2,100375
42,10315,1,31,1,66820.8,120300
43,10315,1,31,1,75805.5,120315
44,10315,1,31,1,70835.5,120310
45,10300,1,30,0,62795.5,130185
46,10300,1,30,0,54792.5,100185
47,10300,1,30,0,65801,100350
48,10300,1,30,0,61333.5,130230
49,10300,1,30,0,60333,130285
50,10300,1,30,0,68341.5,170315
51,10300,1,30,0,73802.8,120240
52,10300,1,30,0,61349,150460
53,10300,1,30,0,60802.2,100440
54,10265,1,25,3,62295,190085
55,10265,1,25,3,69798.2,110270
56,10265,1,25,3,76301.8,130220
57,10265,1,25,3,60834,90490
58,10265,1,25,3,69289.2,120440
59,10265,1,25,3,58319,110195
60,10265,1,25,3,58789.2,120260
61,10265,1,25,3,74319,140065
62,10265,1,25,3,59287,110305
63,10265,1,25,3,66287.5,110280
64,10265,1,25,3,70803.2,130315
65,10265,1,25,3,73334.2,120320
66,10265,1,25,3,69787.2,110395
67,10265,1,25,3,71826.2,120190
68,10210,1,20,2,63302.5,150335
69,10210,1,20,2,73304.8,130340
70,10210,1,20,2,69303.2,150160
71,10210,1,20,2,63320.5,140200
72,10210,1,20,2,64339.2,100595
73,10210,1,20,2,57293.5,110240
74,10210,1,20,2,73308,130245
75,10210,1,20,2,71807.5,100380
76,10210,1,20,2,66266.8,150340
77,10175,1,17,1,70294,120195
78,10175,1,17,1,65341,110420
79,10175,1,17,1,66798.5,140255
80,10175,1,17,1,77294.8,120265
81,10175,1,17,1,71773.5,100310
82,10175,1,17,1,70280,110255
83,10175,1,17,1,64313.2,150240
84,10175,1,17,1,66305,130220
85,10175,1,17,1,63295,110290
86,10175,1,17,1,63802,110300
87,10175,1,17,1,58770,130290
88,10175,1,17,1,66292.8,110330
89,10175,1,17,1,66260.8,100260
90,10175,1,17,1,70290.5,140120
91,10175,1,17,1,61284.5,110325
92,10175,1,17,1,67275,110275
93,10175,1,17,1,64283.5,100400
94,10175,1,17,1,60266,120190
95,10175,1,17,1,57310.8,140330
96,10175,1,17,1,64288,120200
97,10175,1,17,1,51301.2,100300
98,10175,1,17,1,57307,90500
99,10175,1,17,1,50273,100275
