Iteration,BestCost,BestHardViolations,BestGapPenalty,BestUndesirablePenalty,AvgCost,WorstCost
0,773060,77,300,12,918865,1.02281e+06
1,773060,77,300,12,911832,1.07318e+06
2,773060,77,300,12,919862,1.03284e+06
3,733385,73,332,13,897746,1.0226e+06
4,733385,73,332,13,942801,1.14271e+06
5,733385,73,332,13,910816,1.07293e+06
6,733385,73,332,13,900349,1.02332e+06
7,733385,73,332,13,912362,1.02271e+06
8,733385,73,332,13,944204,1.0326e+06
9,733385,73,332,13,926770,1.06219e+06
10,733385,73,332,13,919241,1.02292e+06
11,733385,73,332,13,918803,1.05262e+06
12,733385,73,332,13,940728,1.00282e+06
13,733385,73,332,13,913146,1.06258e+06
14,733385,73,332,13,926279,1.04224e+06
15,733385,73,332,13,931671,1.03292e+06
16,733385,73,332,13,931315,1.01286e+06
17,733385,73,332,13,922736,1.01274e+06
18,733385,73,332,13,943370,1.07294e+06
19,733385,73,332,13,936346,1.12338e+06
20,733385,73,332,13,923302,1.00238e+06
21,733385,73,332,13,943332,1.06287e+06
22,733385,73,332,13,901787,1.023e+06
23,733385,73,332,13,932781,1.0531e+06
24,733385,73,332,13,923782,1.02264e+06
25,733385,73,332,13,908322,1.04292e+06
26,733385,73,332,13,956265,1.0532e+06
27,733385,73,332,13,899294,1.00262e+06
28,733385,73,332,13,925221,1.06232e+06
29,733385,73,332,13,929827,1.09245e+06
30,733385,73,332,13,906701,982550
31,733385,73,332,13,938205,1.03242e+06
32,733385,73,332,13,915756,1.02278e+06
33,733385,73,332,13,923717,1.09252e+06
34,733385,73,332,13,933324,1.03252e+06
35,733385,73,332,13,924266,1.07311e+06
36,733385,73,332,13,959229,1.09298e+06
37,733385,73,332,13,899148,1.03252e+06
38,733385,73,332,13,896372,1.02313e+06
39,733385,73,332,13,900781,1.00264e+06
40,733385,73,332,13,922317,1.03266e+06
41,733385,73,332,13,944769,1.03226e+06
42,733385,73,332,13,912792,1.11238e+06
43,733385,73,332,13,935264,1.07264e+06
44,733385,73,332,13,937258,1.07258e+06
45,733385,73,332,13,932785,1.07267e+06
46,733385,73,332,13,913232,992400
47,733385,73,332,13,927687,1.10278e+06
48,733385,73,332,13,892797,1.00264e+06
49,733385,73,332,13,926295,1.02268e+06
50,733385,73,332,13,927325,1.03223e+06
51,733385,73,332,13,934274,1.07288e+06
52,733385,73,332,13,927762,1.02269e+06
53,733385,73,332,13,907721,1.06311e+06
54,733385,73,332,13,913300,1.05294e+06
55,733385,73,332,13,923735,1.06256e+06
56,733385,73,332,13,917816,1.07256e+06
57,733140,73,307,14,896818,992660
58,733140,73,307,14,922819,992495
59,733140,73,307,14,921804,1.0526e+06
60,733140,73,307,14,917256,1.05309e+06
61,733140,73,307,14,920695,1.07224e+06
62,733140,73,307,14,904854,1.00252e+06
63,733140,73,307,14,904232,1.04268e+06
64,733140,73,307,14,914314,1.0026e+06
65,733140,73,307,14,934824,1.14266e+06
66,733140,73,307,14,919872,1.01247e+06
67,733140,73,307,14,939318,1.05306e+06
68,672965,67,292,9,902763,992750
69,672965,67,292,9,883768,953165
70,672965,67,292,9,882264,1.0725e+06
71,672965,67,292,9,929898,1.06288e+06
72,672965,67,292,9,944672,1.06301e+06
73,672965,67,292,9,921865,1.02265e+06
74,672965,67,292,9,914757,1.02284e+06
75,672965,67,292,9,911206,1.02284e+06
76,672965,67,292,9,941272,1.07281e+06
77,672965,67,292,9,908791,1.03269e+06
78,672965,67,292,9,923897,1.04248e+06
79,672965,67,292,9,936284,1.05261e+06
80,672965,67,292,9,933834,1.07218e+06
81,672965,67,292,9,928826,1.0326e+06
82,672965,67,292,9,916369,1.03261e+06
83,672965,67,292,9,909337,1.00273e+06
84,672965,67,292,9,917346,1.0427e+06
85,672965,67,292,9,929274,1.05241e+06
86,672965,67,292,9,918248,1.07226e+06
87,672965,67,292,9,924364,1.01312e+06
88,672965,67,292,9,938304,1.12314e+06
89,672965,67,292,9,902248,1.04244e+06
90,672965,67,292,9,939736,1.06268e+06
91,672965,67,292,9,946325,1.08329e+06
92,672965,67,292,9,930786,1.03311e+06
93,672965,67,292,9,944219,1.10286e+06
94,672965,67,292,9,912229,982630
95,672965,67,292,9,929280,1.04238e+06
96,672965,67,292,9,907723,1.01251e+06
97,672965,67,292,9,931186,1.10209e+06
98,672965,67,292,9,929270,1.06258e+06
99,672965,67,292,9,929338,1.08250e+06
