Iteration,BestCost,BestHardViolations,BestGapPenalty,BestUndesirablePenalty,AvgCost,WorstCost
0,250785,25,77,3,310712,390805
1,240940,24,92,4,312140,350655
2,240940,24,92,4,313181,380545
3,240940,24,92,4,314661,380630
4,240570,24,57,0,318171,390750
5,240570,24,57,0,324190,370970
6,240570,24,57,0,324169,410705
7,240570,24,57,0,321169,420665
8,230790,23,79,0,319619,380475
9,230790,23,79,0,316202,380450
10,230790,23,79,0,325138,400470
11,230790,23,79,0,316158,400580
12,220740,22,73,2,316218,380965
13,220740,22,73,2,312156,370545
14,220740,22,73,2,312148,390400
15,220740,22,73,2,313199,410640
16,220740,22,73,2,313646,390650
17,220740,22,73,2,320719,380575
18,220740,22,73,2,311210,380890
19,220740,22,73,2,317704,380765
20,220740,22,73,2,318167,370740
21,220740,22,73,2,333148,400755
22,220740,22,73,2,311170,400430
23,220740,22,73,2,315146,380840
24,220740,22,73,2,316648,380545
25,220740,22,73,2,321708,400635
26,220740,22,73,2,305658,360550
27,220740,22,73,2,320178,350715
28,220740,22,73,2,314716,430610
29,220740,22,73,2,314673,360740
30,220740,22,73,2,307157,350570
31,220740,22,73,2,312679,430650
32,220740,22,73,2,316205,430810
33,220740,22,73,2,316690,350740
34,220740,22,73,2,307178,380760
35,220740,22,73,2,320138,360865
36,220740,22,73,2,313142,400625
37,220740,22,73,2,320628,380630
38,220740,22,73,2,325662,360605
39,220740,22,73,2,323642,380635
40,220740,22,73,2,323118,440570
41,220740,22,73,2,310642,360685
42,220740,22,73,2,330671,400770
43,220740,22,73,2,307696,370765
44,220740,22,73,2,326671,390580
45,220740,22,73,2,316137,380680
46,220740,22,73,2,321672,400660
47,220740,22,73,2,309687,350860
48,220740,22,73,2,311148,410710
49,220740,22,73,2,324684,380840
50,220740,22,73,2,300159,350610
51,220740,22,73,2,309157,380785
52,220740,22,73,2,307659,370565
53,220740,22,73,2,329121,420435
54,220740,22,73,2,303172,360910
55,220740,22,73,2,308625,430625
56,220740,22,73,2,314713,390555
57,220740,22,73,2,311134,390440
58,220740,22,73,2,324140,440510
59,220740,22,73,2,326662,410380
60,220740,22,73,2,314149,370780
61,220740,22,73,2,320202,390600
62,220740,22,73,2,321674,410550
63,220740,22,73,2,309646,370660
64,220740,22,73,2,326202,390735
65,220740,22,73,2,311652,370765
66,220740,22,73,2,319176,370775
67,220740,22,73,2,319149,400600
68,220740,22,73,2,314651,380685
69,220740,22,73,2,314712,390725
70,220740,22,73,2,310663,370650
71,220740,22,73,2,320642,440320
72,220740,22,73,2,305125,370875
73,220740,22,73,2,306170,400500
74,220740,22,73,2,319118,410655
75,220740,22,73,2,306694,350440
76,220740,22,73,2,312598,370455
77,220740,22,73,2,321172,390505
78,220740,22,73,2,317164,390465
79,220740,22,73,2,312711,370520
80,220740,22,73,2,313198,360805
81,220740,22,73,2,313196,360720
82,220740,22,73,2,320675,370725
83,220740,22,73,2,323639,410605
84,220740,22,73,2,312181,380590
85,220740,22,73,2,316157,410510
86,220740,22,73,2,325152,390725
87,220740,22,73,2,303644,370675
88,220740,22,73,2,322144,410470
89,220740,22,73,2,314690,380800
90,220740,22,73,2,317679,350850
91,220740,22,73,2,309602,350590
92,220740,22,73,2,319662,360645
93,220740,22,73,2,321134,410630
94,220740,22,73,2,305185,370745
95,220740,22,73,2,328188,380715
96,220740,22,73,2,320682,380620
97,220740,22,73,2,309740,350790
98,220740,22,73,2,310656,360620
99,220740,22,73,2,314658,390830
